id,statuses_count,followers_count,friends_count,favourites_count,listed_count,lang,updated,ratio,result
3610511,20370,5470,2385,145,52,it,14-02-15 10:26,0.436014625,TRUE_account
5656162,3131,506,381,9,40,en,14-02-15 10:26,0.752964427,TRUE_account
5682702,4024,264,87,323,16,en,14-02-15 10:26,0.329545455,TRUE_account
6067292,40586,640,622,1118,32,en,14-02-15 10:26,0.971875,TRUE_account
6015122,2016,62,64,13,0,it,14-02-15 10:26,1.032258065,TRUE_account
6140012,3603,138,179,53,1,it,14-02-15 10:26,1.297101449,TRUE_account
6134312,1183,128,168,2,5,en,14-02-15 10:26,1.3125,TRUE_account
6684602,6194,1062,1770,597,5,it,14-02-15 10:26,1.666666667,TRUE_account
7046912,10962,23368,958,590,715,en,14-02-15 10:26,0.040996234,TRUE_account
7470952,10947,760,712,693,27,it,14-02-15 10:26,0.936842105,TRUE_account
8072492,2754,477,218,224,13,it,14-02-15 10:26,0.457023061,TRUE_account
8291932,26713,1390,1177,914,68,en,14-02-15 10:26,0.84676259,TRUE_account
8858022,4111,314,338,47,8,it,14-02-15 10:26,1.076433121,TRUE_account
8927532,1441,97,203,25,2,it,14-02-15 10:26,2.092783505,TRUE_account
8933252,1698,289,1930,45,3,it,14-02-15 10:26,6.678200692,TRUE_account
9351052,402,93,78,36,4,it,14-02-15 10:26,0.838709677,TRUE_account
9564632,16935,2242,918,44,124,en,14-02-15 10:26,0.409455843,TRUE_account
9939012,9437,689,891,199,37,it,14-02-15 10:26,1.29317852,TRUE_account
9993142,3742,505,571,100,3,it,14-02-15 10:26,1.130693069,TRUE_account
10492262,770,81,181,89,2,it,14-02-15 10:26,2.234567901,TRUE_account
11176152,1430,128,371,204,1,it,14-02-15 10:26,2.8984375,TRUE_account
13260592,6996,899,305,346,28,en,14-02-15 10:26,0.339265851,TRUE_account
14057516,3284,375,1039,1,8,en,14-02-15 10:26,2.770666667,TRUE_account
14112759,160,46,146,22,0,fr,14-02-15 10:26,3.173913043,TRUE_account
14492555,292,57,110,5,0,en,14-02-15 10:26,1.929824561,TRUE_account
14709812,5876,616,647,1061,29,it,14-02-15 10:26,1.050324675,TRUE_account
14865840,7534,1132,1096,6,52,en,14-02-15 10:26,0.96819788,TRUE_account
14958182,1294,254,276,89,8,it,14-02-15 10:26,1.086614173,TRUE_account
15016610,6340,298,419,5,15,en,14-02-15 10:26,1.406040268,TRUE_account
15271419,5472,6352,3873,65,11,it,14-02-15 10:26,0.609729219,TRUE_account
15391421,22540,2065,1125,0,64,it,14-02-15 10:26,0.544794189,TRUE_account
15836275,732,85,338,16,3,en,14-02-15 10:26,3.976470588,TRUE_account
15873303,38781,623,323,1209,22,en,14-02-15 10:26,0.518459069,TRUE_account
16093829,10451,1265,323,38,24,it,14-02-15 10:26,0.255335968,TRUE_account
16591972,2784,256,873,284,2,it,14-02-15 10:26,3.41015625,TRUE_account
16927266,823,43,109,5,1,it,14-02-15 10:26,2.534883721,TRUE_account
17654864,442,79,259,0,3,en,14-02-15 10:26,3.278481013,TRUE_account
17852114,350,86,131,116,3,en,14-02-15 10:26,1.523255814,TRUE_account
18173213,3694,393,1047,6,8,en,14-02-15 10:26,2.664122137,TRUE_account
18527544,9686,208,196,219,4,it,14-02-15 10:26,0.942307692,TRUE_account
18671285,16427,555,755,8,18,en,14-02-15 10:26,1.36036036,TRUE_account
18735790,1006,85,121,19,1,en,14-02-15 10:26,1.423529412,TRUE_account
18800245,1122,300,951,8,6,it,14-02-15 10:26,3.17,TRUE_account
19598248,1386,88,267,106,0,en,14-02-15 10:26,3.034090909,TRUE_account
21102000,18267,1964,2003,22732,4,it,14-02-15 10:26,1.019857434,TRUE_account
21770069,15365,3813,1505,550,63,en,14-02-15 10:26,0.394702334,TRUE_account
22015750,2242,552,1446,13,8,en,14-02-15 10:26,2.619565217,TRUE_account
22136015,4149,279,64,20,22,en,14-02-15 10:26,0.229390681,TRUE_account
22203964,8384,2526,299,1178,41,it,14-02-15 10:26,0.118368963,TRUE_account
22508731,612,100,259,24,2,it,14-02-15 10:26,2.59,TRUE_account
22627606,660,126,407,0,0,en,14-02-15 10:26,3.23015873,TRUE_account
22985259,5287,849,1846,117,3,it,14-02-15 10:26,2.174322733,TRUE_account
23748269,2275,165,285,181,4,en,14-02-15 10:26,1.727272727,TRUE_account
23847948,3551,87,174,7,2,en,14-02-15 10:26,2,TRUE_account
24352106,282,12,36,6,0,it,14-02-15 10:26,3,TRUE_account
24510304,493,47,80,24,0,it,14-02-15 10:26,1.70212766,TRUE_account
25442408,1012,283,268,15,3,en,14-02-15 10:26,0.946996466,TRUE_account
25911628,1706,134,257,0,2,en,14-02-15 10:26,1.917910448,TRUE_account
26232444,103,45,66,0,0,it,14-02-15 10:26,1.466666667,TRUE_account
26771352,189,35,178,6,0,it,14-02-15 10:26,5.085714286,TRUE_account
27241975,3720,179,154,6,2,en,14-02-15 10:26,0.860335196,TRUE_account
27422705,1566,110,295,71,1,en,14-02-15 10:26,2.681818182,TRUE_account
27636956,1672,627,1089,11,4,it,14-02-15 10:26,1.736842105,TRUE_account
27887098,969,69,210,233,1,it,14-02-15 10:26,3.043478261,TRUE_account
28313453,7307,378,239,2620,30,es,14-02-15 10:26,0.632275132,TRUE_account
28342883,4240,1012,1449,578,25,it,14-02-15 10:26,1.431818182,TRUE_account
28363979,74,16,42,88,0,en,14-02-15 10:26,2.625,TRUE_account
28845598,6866,463,330,2180,5,en,14-02-15 10:26,0.712742981,TRUE_account
29500667,31546,151,301,294,2,it,14-02-15 10:26,1.993377483,TRUE_account
29510629,966,69,318,3,0,en,14-02-15 10:26,4.608695652,TRUE_account
29646177,28808,2638,1743,1021,39,it,14-02-15 10:26,0.660727824,TRUE_account
30062603,386,88,205,25,1,it,14-02-15 10:26,2.329545455,TRUE_account
31102741,3763,1169,1642,32,7,it,14-02-15 10:26,1.404619333,TRUE_account
31162918,522,319,793,10,11,en,14-02-15 10:26,2.485893417,TRUE_account
32025215,30547,445,489,304,16,en,14-02-15 10:26,1.098876404,TRUE_account
